Valor,Tiempo
10,0.000008
100,0.006449
500,0.503061
1000,4.030931
1500,13.888278
2000,39.045692
2500,111.590213
3000,198.151330
3500,340.326808
4000,497.320420
4500,750.665274
6000,1845.251540
7000,2962.983422
7500,3718.618868
8000,4449.352527
10,0.000011
100,0.006911
500,0.502613
1000,4.001041
1500,13.726673
2000,37.327783
2500,111.362098
3000,197.189881
3500,340.895444
4000,499.181736
4500,755.346676
6000,1841.060962
7000,2960.492184
7500,3719.591416
8000,4450.589294
10,0.000011
100,0.004079
500,0.510020
1000,4.051170
1500,13.790635
2000,37.544926
2500,112.014992
3000,195.790978
3500,337.372322
4000,502.401928
4500,760.807987
6000,1840.265400
7000,2962.722890
7500,3721.048355
8000,4519.849776
