Valor,Tiempo
10,0.000200
100,0.001950
500,0.097804
1000,0.768507
1500,2.557317
2000,6.373535
2500,18.302438
3000,33.225534
3500,58.498032
4000,90.352355
4500,135.743689
6000,342.481415
7000,554.574649
7500,691.753164
8000,838.624079
10,0.000269
100,0.002034
500,0.104522
1000,0.772367
1500,2.632922
2000,6.635210
2500,18.459343
3000,32.671649
3500,58.400066
4000,92.493617
4500,136.059173
6000,342.910990
7000,555.653355
7500,691.346919
8000,835.808202
10,0.000203
100,0.001367
500,0.098784
1000,0.771308
1500,2.604914
2000,6.500958
2500,18.533516
3000,32.832731
3500,58.364901
4000,90.785310
4500,136.410067
6000,344.514041
7000,554.526434
7500,688.396212
8000,834.851034
