Valor,Tiempo
10,0.000781
100,0.001703
500,0.141608
1000,0.700464
1500,2.413452
2000,5.953160
2500,17.058204
3000,30.486117
3500,54.671120
4000,86.370065
4500,130.519638
6000,331.930543
7000,540.570237
7500,671.284051
8000,814.747421
10,0.000734
100,0.002010
500,0.093824
1000,0.736031
1500,2.458341
2000,6.149165
2500,17.643728
3000,31.842553
3500,55.404792
4000,88.546650
4500,134.633935
6000,334.737826
7000,537.016458
7500,669.828422
8000,814.986468
10,0.000540
100,0.001387
500,0.093066
1000,0.741868
1500,2.490587
2000,6.301086
2500,17.788983
3000,31.689028
3500,55.954309
4000,87.558885
4500,130.768164
6000,334.479127
7000,542.009702
7500,675.147147
8000,813.496895
